Number,Name,Position,Height,Class,Season,Team,Weight
0,Dominic Pereira,GK,6' 5'',Fy.,2024,Northwestern,
1,Rafael Ponce de León,GK,6' 3'',Jr.,2024,Northwestern,
2,Brandon Clagette,D,5' 8'',Gr.,2024,Northwestern,
3,Ibrahim Obeid,D,6' 0'',Sr.,2024,Northwestern,
4,Collin McCamy,M,6' 2'',Sr.,2024,Northwestern,
5,Reese Mayer,D,6' 2'',Gr.,2024,Northwestern,
6,Jason Gajadhar,M,5' 10'',Jr.,2024,Northwestern,
7,Paul Son,M,5' 10'',Sr.,2024,Northwestern,
8,Joe Suchecki,M,6' 4'',Gr.,2024,Northwestern,
9,Christopher Thaggard,F,5' 10'',Jr.,2024,Northwestern,
10,Thaddaeus Dewing,F,5' 11'',Gr.,2024,Northwestern,
11,Jayvin Van Deventer,M,5' 9'',Jr.,2024,Northwestern,
12,Nigel Prince,D,6' 2'',Jr.,2024,Northwestern,
13,Luke Shreiner,D,6' 4'',Fy.,2024,Northwestern,
14,Bryce LeBel,D,5' 11'',Gr.,2024,Northwestern,
16,Peter Riesz,M,6' 3'',So.,2024,Northwestern,
17,Akinjide Awujo,F,6' 0'',R-Sr.,2024,Northwestern,
19,Fritz Volmar,D,6' 0'',So.,2024,Northwestern,
20,Henri Richter,M,6' 0'',Jr.,2024,Northwestern,
21,James Spatzek,M,5' 9'',So.,2024,Northwestern,
22,Aidan O'Neill,M,5' 10'',Fy.,2024,Northwestern,
23,Italo Addimandi,F,5' 10'',So.,2024,Northwestern,
24,Michael Ramirez,F,5' 10'',Fy.,2024,Northwestern,
25,Gregory Cook,F,5' 11'',So.,2024,Northwestern,
26,Bryant Mayer,D,6' 1'',So.,2024,Northwestern,
27,Jude Bosshardt,GK,6' 4'',So.,2024,Northwestern,
28,Tyler Glassberg,M,6' 0'',So.,2024,Northwestern,
29,Danh Tran,M,5' 11'',Sr.,2024,Northwestern,
1,Jackson Weyman,GK,6' 3'',Gr.,2023,Northwestern,
2,Brandon Clagette,D,5' 8'',Sr.,2023,Northwestern,
3,Ibrahim Obeid,D,6' 0'',Jr.,2023,Northwestern,
4,Collin McCamy,M,6' 2'',Jr.,2023,Northwestern,
5,Reese Mayer,D,6' 2'',Gr.,2023,Northwestern,
6,Jason Gajadhar,M,5' 10'',So.,2023,Northwestern,
7,Paul Son,M,5' 10'',Jr.,2023,Northwestern,
8,Kai Reis,F,6' 2'',Fy.,2023,Northwestern,
9,Christopher Thaggard,F,5' 10'',So.,2023,Northwestern,
10,Justin Weiss,F,5' 9'',Sr.,2023,Northwestern,
11,Jayvin Van Deventer,M,5' 9'',So.,2023,Northwestern,
12,Nigel Prince,D,6' 2'',So.,2023,Northwestern,
13,Rom Brown,M,6' 2'',Sr.,2023,Northwestern,
14,Tyler Warren,D,5' 9'',Sr.,2023,Northwestern,
15,Owen Noverr,D,6' 4'',Fy.,2023,Northwestern,
16,Peter Riesz,M,6' 3'',Fy.,2023,Northwestern,
17,Brett Chrisman,M,5' 10'',Sr.,2023,Northwestern,
18,Joseph Arena,M,5' 9'',Sr.,2023,Northwestern,
19,Fritz Volmar,D,6' 0'',Fy.,2023,Northwestern,
20,Henri Richter,M,6' 0'',So.,2023,Northwestern,
21,James Spatzek,M,5' 9'',Fy.,2023,Northwestern,
22,Ugo Achara Jr.,F,6' 1'',Gr.,2023,Northwestern,
23,Italo Addimandi,F,5' 10'',Fy.,2023,Northwestern,
25,Gregory Cook,F,5' 11'',Fy.,2023,Northwestern,
26,Bryant Mayer,D,6' 1'',Fy.,2023,Northwestern,
27,Jude Bosshardt,GK,6' 4'',Fy.,2023,Northwestern,
28,Tyler Glassberg,M,6' 0'',Fy.,2023,Northwestern,
29,Danh Tran,M,5' 11'',Jr.,2023,Northwestern,
0,Christian Garner,GK,6' 0'',Gr.,2022,Northwestern,
1,Paul Walters,GK,6' 3'',Fy.,2022,Northwestern,
2,Brandon Clagette,D,5' 8'',So.,2022,Northwestern,
3,Ibrahim Obeid,D,6' 0'',So.,2022,Northwestern,
4,Collin McCamy,M,6' 2'',So.,2022,Northwestern,
5,Ethan Dudley,D,6' 4'',Gr.,2022,Northwestern,
6,Justin Weiss,F,5' 9'',Jr.,2022,Northwestern,
7,Bardia Kimiavi,M,5' 7'',Gr.,2022,Northwestern,
8,Andrew Stevens,M,6' 2'',Gr.,2022,Northwestern,
9,Christopher Thaggard,F,5' 10'',Fy.,2022,Northwestern,
10,Vicente Castro,M,5' 11'',Sr.,2022,Northwestern,
11,Eric Smits,M,5' 8'',Sr.,2022,Northwestern,
12,Logan Weaver,M,5' 11'',Sr.,2022,Northwestern,
13,Rom Brown,M,6' 2'',Jr.,2022,Northwestern,
14,Tyler Warren,D,5' 9'',Jr.,2022,Northwestern,
15,Darley Florvil,M,5' 7'',So.,2022,Northwestern,
16,Alex Gordon,M,5' 11'',Sr.,2022,Northwestern,
17,Brett Chrisman,M,5' 10'',So.,2022,Northwestern,
18,Joseph Arena,M,5' 9'',Jr.,2022,Northwestern,
19,Paul Son,M,5' 10'',So.,2022,Northwestern,
20,Henri Richter,M,6' 0'',Fy.,2022,Northwestern,
21,Jack Ratterman,D,6' 3'',Sr.,2022,Northwestern,
22,Jayson Cyrus,D,5' 10'',Sr.,2022,Northwestern,
24,Deng Deng Kur,D/M,6' 3'',Sr.,2022,Northwestern,
25,Nigel Prince,D,6' 2'',Fy.,2022,Northwestern,
26,Jayvin Van Deventer,M,5' 9'',Fy.,2022,Northwestern,
27,Kevin Klausz,GK,6' 0'',Sr.,2022,Northwestern,
28,Jason Gajadhar,M,5' 10'',Fy.,2022,Northwestern,
29,Danh Tran,M,5' 11'',So.,2022,Northwestern,
0,Ethan Bandre,GK,6' 2'',Gr.,2021,Northwestern,
1,Miha Miskovic,GK,6' 3'',Gr.,2021,Northwestern,
2,Quinn Dudek,D,6' 0'',Gr.,2021,Northwestern,
3,Ibrahim Obeid,D,6' 0'',Fy.,2021,Northwestern,
4,Collin McCamy,M,6' 2'',Fy.,2021,Northwestern,
5,Richie Bennett,M,6' 0'',Sr.,2021,Northwestern,
6,Justin Weiss,F,5' 9'',So.,2021,Northwestern,
7,Bardia Kimiavi,M,5' 7'',Sr.,2021,Northwestern,
8,Spencer Howard,F,6' 2'',Gr.,2021,Northwestern,
9,Jose Del Valle,F,6' 3'',Sr.,2021,Northwestern,
10,Vicente Castro,M,5' 11'',Jr.,2021,Northwestern,
11,Eric Smits,M,5' 8'',Jr.,2021,Northwestern,
12,Logan Weaver,M,5' 11'',Jr.,2021,Northwestern,
13,Connor McCabe,M,5' 10'',Sr.,2021,Northwestern,
14,Tyler Warren,D,5' 9'',So.,2021,Northwestern,
15,Darley Florvil,M,5' 7'',Fy.,2021,Northwestern,
16,Alex Gordon,M,5' 11'',Jr.,2021,Northwestern,
17,Rom Brown,M,6' 2'',So.,2021,Northwestern,
18,Joseph Arena,M,5' 9'',So.,2021,Northwestern,
19,Paul Son,M,5' 10'',Fy.,2021,Northwestern,
21,Jack Ratterman,D,6' 3'',Jr.,2021,Northwestern,
22,Jayson Cyrus,D,5' 10'',Jr.,2021,Northwestern,
23,Spencer Farina,D,6' 3'',Gr.,2021,Northwestern,
24,Deng Deng Kur,D/M,6' 3'',Jr.,2021,Northwestern,
25,Julian Zighelboim,D,6' 1'',Sr.,2021,Northwestern,
27,Kevin Klausz,GK,6' 0'',Jr.,2021,Northwestern,
28,Caden Theobald,M,5' 8'',Fy.,2021,Northwestern,
29,Danh Tran,M,5' 11'',Fy.,2021,Northwestern,
0,Alex Kara,Goalkeeper,6' 4'',R-Fr.,2024,Indiana,185
1,JT Harms,Goalkeeper,6' 1'',Sr.+,2024,Indiana,181
2,Quinton Elliot,Defender,5' 10'',Jr.,2024,Indiana,155
3,Joel Demian,Defender,5' 10'',So.,2024,Indiana,165
4,Josh Maher,Defender,6' 3'',Fr.,2024,Indiana,180
5,Jansen Miller,Defender,6' 2'',Sr.+,2024,Indiana,180
6,Jack Lindimore,Defender,6' 1'',Fr.,2024,Indiana,175
7,Justin Weiss,Forward,5' 9'',Gr.,2024,Indiana,
8,Seth Stewart,Midfielder,5' 9'',R-So.,2024,Indiana,151
9,Samuel Sarver,Forward,5' 10'',Sr.,2024,Indiana,156
10,Tommy Mihalic,Forward,5' 11'',Sr.,2024,Indiana,169
11,Collins Oduro,Forward,5' 7'',So.,2024,Indiana,158
12,Michael Nesci,Forward,5' 11'',Fr.,2024,Indiana,160
13,Alex Barger,Defender,5' 9'',So.,2024,Indiana,155
14,Easton Bogard,Forward,5' 9'',Fr.,2024,Indiana,155
15,Luka Bezerra,Forward,6' 2'',Jr.,2024,Indiana,170
16,Charlie Heuer,Midfielder,5' 10'',Fr.,2024,Indiana,155
17,Justin Shreffler,Midfielder,5' 10'',So.,2024,Indiana,155
18,Lucas Wolthers,Forward,6' 1'',R-Fr.,2024,Indiana,180
19,Breckin Minzey,Midfielder,5' 11'',R-So.,2024,Indiana,152
20,Clay Murador,Forward,5' 11'',So.,2024,Indiana,165
21,Jack Wagoner,Midfielder,5' 10'',Jr.,2024,Indiana,160
22,Patrick McDonald,Midfielder,5' 11'',Sr.,2024,Indiana,140
23,Noah Joseph,Midfielder,6' 0'',R-So.,2024,Indiana,140
24,Luke Jeffus,Midfielder,5' 11'',Gr.,2024,Indiana,170
25,Luke Reidell,Defender,5' 8'',R-Fr.,2024,Indiana,145
26,Drew Gaydosh,Defender,6' 3'',Fr.,2024,Indiana,180
27,Nolan Kinsella,Forward,6' 3'',Fr.,2024,Indiana,160
28,Grant Yeagley,Midfielder,6' 0'',R-Jr.,2024,Indiana,160
29,EJ Dreher,Midfielder,5' 10'',R-Fr.,2024,Indiana,150
30,Cooper Johnsen,Goalkeeper,6' 0'',R-So.,2024,Indiana,155
32,Aidan Montoure,Goalkeeper,6' 0'',Gr.,2024,Indiana,160
33,Miles Imparato,Midfielder,5' 10'',Fr.,2024,Indiana,150
36,Drew Thompson,Midfielder,5' 10'',Fr.,2024,Indiana,150
99,Holden Brown,Goalkeeper,6' 4'',Gr.,2024,Indiana,190
0,Alex Kara,Goalkeeper,6' 4'',Fr.,2023,Indiana,185
1,JT Harms,Goalkeeper,6' 1'',Sr.,2023,Indiana,180
2,Joey Maher,Defender,6' 2'',Sr.,2023,Indiana,160
3,Joel Demian,Defender,5' 10'',Fr.,2023,Indiana,165
4,Hugo Bacharach,Midfielder/Defender,6' 4'',Sr.,2023,Indiana,210
5,Jansen Miller,Defender,6' 2'',Sr.,2023,Indiana,180
6,Logan Oliver,Midfielder,5' 11'',Fr.,2023,Indiana,165
7,Karsen Henderlong,Forward,6' 3'',Sr.+,2023,Indiana,195
8,Seth Stewart,Midfielder,5' 9'',So.,2023,Indiana,150
9,Samuel Sarver,Forward,5' 9'',Jr.,2023,Indiana,140
10,Tommy Mihalic,Forward,5' 11'',Jr.,2023,Indiana,165
11,Collins Oduro,Forward,5' 7'',Fr.,2023,Indiana,150
12,Quinten Helmer,Midfielder,6' 0'',R-Sr.,2023,Indiana,155
13,Alex Barger,Defender,5' 9'',Fr.,2023,Indiana,150
14,Maouloune Goumballe,Forward,6' 2'',Sr.+,2023,Indiana,163
15,Luka Bezerra,Forward,6' 2'',So.,2023,Indiana,168
16,Lukas Hummel,Defender,5' 11'',Sr.,2023,Indiana,160
17,Justin Shreffler,Midfielder,5' 10'',Fr.,2023,Indiana,150
18,Lucas Wolthers,Forward,6' 1'',Fr.,2023,Indiana,180
19,Brett Bebej,Defender,6' 0'',Sr.+,2023,Indiana,153
20,Clay Murador,Forward,5' 11'',Fr.,2023,Indiana,165
21,Jack Wagoner,Midfielder,5' 10'',So.,2023,Indiana,160
22,Patrick McDonald,Midfielder,5' 11'',Jr.,2023,Indiana,140
23,Noah Joseph,Midfielder,6' 0'',R-Fr.,2023,Indiana,140
24,Andrew Goldsworthy,Defender,6' 1'',R-Sr.,2023,Indiana,180
25,Luke Reidell,Defender,5' 7'',Fr.,2023,Indiana,130
26,Nate Ward,Forward,5' 11'',Sr.,2023,Indiana,160
28,Grant Yeagley,Midfielder,6' 0'',R-So.,2023,Indiana,160
29,EJ Dreher,Midfielder,5' 8'',Fr.,2023,Indiana,145
30,Cooper Johnsen,Goalkeeper,6' 0'',R-Fr.,2023,Indiana,155
32,Austin Himebaugh,Goalkeeper,6' 2'',R-Jr.,2023,Indiana,175
36,Breckin Minzey,Midfielder,5' 11'',R-Fr.,2023,Indiana,140
0,JT Harms,Goalkeeper,6' 1'',Jr.,2022,Indiana,180
1,Bryant Pratt,Goalkeeper,6' 2'',R-Sr.,2022,Indiana,190
2,Joey Maher,Defender,6' 2'',Jr.,2022,Indiana,160
3,Lawson Redmon,Defender,5' 10'',Jr.,2022,Indiana,160
4,Sam Bennett,Defender,6' 0'',R-Fr.,2022,Indiana,180
5,Daniel Munie,Defender,6' 0'',R-Sr.,2022,Indiana,180
6,Jansen Miller,Defender,6' 2'',Jr.,2022,Indiana,180
7,Karsen Henderlong,Forward,6' 3'',Sr.,2022,Indiana,195
8,Seth Stewart,Midfielder,5' 9'',Fr.,2022,Indiana,150
9,Samuel Sarver,Forward,5' 9'',So.,2022,Indiana,140
10,Tommy Mihalic,Forward,5' 11'',So.,2022,Indiana,165
11,Nyk Sessock,Defender,5' 7'',Sr.+,2022,Indiana,150
12,Quinten Helmer,Midfielder,6' 0'',R-Jr.,2022,Indiana,155
13,Emerson Nieto,Midfielder,5' 10'',R-So.,2022,Indiana,150
14,Maouloune Goumballe,Forward,6' 2'',Sr.,2022,Indiana,163
15,Luka Bezerra,Forward,6' 2'',Fr.,2022,Indiana,168
16,Lukas Hummel,Defender,5' 11'',Jr.,2022,Indiana,160
17,Herbert Endeley,Forward,5' 10'',Sr.,2022,Indiana,152
18,Ryan Wittenbrink,Forward,6' 1'',R-Sr.,2022,Indiana,165
19,Brett Bebej,Defender,6' 0'',Sr.,2022,Indiana,153
20,Ben Yeagley,Midfielder,5' 9'',R-Sr.,2022,Indiana,150
21,Jack Wagoner,Midfielder,5' 10'',Fr.,2022,Indiana,
22,Patrick McDonald,Midfielder,5' 11'',So.,2022,Indiana,140
23,Noah Joseph,Midfielder,6' 0'',Fr.,2022,Indiana,140
24,Andrew Goldsworthy,Defender,6' 1'',R-Jr.,2022,Indiana,180
25,Trey Kapsalis,Midfielder,5' 7'',R-Sr.,2022,Indiana,140
26,Nate Ward,Forward,5' 11'',Jr.,2022,Indiana,160
27,Alex McGill,Midfielder,6' 0'',R-Jr.,2022,Indiana,160
28,Grant Yeagley,Midfielder,6' 0'',R-Fr.,2022,Indiana,160
29,Luke Boha,Midfielder,5' 11'',R-Jr.,2022,Indiana,150
30,Cooper Johnsen,Goalkeeper,6' 0'',Fr.,2022,Indiana,155
32,Austin Himebaugh,Goalkeeper,6' 2'',R-So.,2022,Indiana,175
36,Breckin Minzey,Midfielder,5' 11'',Fr.,2022,Indiana,140
0,Bryant Pratt,Goalkeeper,6' 2'',R-Jr.,2021,Indiana,190
1,Roman Celentano,Goalkeeper,6' 3'',Jr.,2021,Indiana,200
2,Joey Maher,Defender,6' 2'',So.,2021,Indiana,160
3,Lawson Redmon,Defender,5' 10'',So.,2021,Indiana,160
4,Sam Bennett,Defender,6' 0'',Fr.,2021,Indiana,180
5,Daniel Munie,Defender,6' 0'',R-Jr.,2021,Indiana,180
7,Victor Bezerra,Forward,6' 0'',Jr.,2021,Indiana,175
8,Joe Schmidt,Midfielder,5' 9'',R-Sr.,2021,Indiana,165
9,Samuel Sarver,Forward,5' 9'',Fr.,2021,Indiana,140
10,Tommy Mihalic,Forward,5' 11'',Fr.,2021,Indiana,165
11,Nyk Sessock,Defender,5' 7'',Sr.,2021,Indiana,150
12,Quinten Helmer,Midfielder,6' 0'',R-So.,2021,Indiana,155
13,Emerson Nieto,Midfielder,5' 10'',So.,2021,Indiana,150
14,Maouloune Goumballe,Forward,6' 2'',Jr.,2021,Indiana,163
15,Kyle Folds,Midfielder,6' 2'',R-Fr.,2021,Indiana,200
16,Lukas Hummel,Defender,5' 11'',So.,2021,Indiana,160
17,Herbert Endeley,Forward,5' 10'',Jr.,2021,Indiana,152
18,Ryan Wittenbrink,Forward,6' 1'',R-Jr.,2021,Indiana,165
19,Brett Bebej,Defender,6' 0'',Jr.,2021,Indiana,153
20,Ben Yeagley,Midfielder,5' 9'',R-Jr.,2021,Indiana,150
21,Spencer Glass,Defender,6' 0'',R-Sr.+,2021,Indiana,165
22,Patrick McDonald,Midfielder,5' 11'',Fr.,2021,Indiana,140
23,Isaac Sarosy,Defender,5' 11'',R-Jr.,2021,Indiana,170
24,Andrew Goldsworthy,Defender,6' 1'',R-So.,2021,Indiana,180
25,Trey Kapsalis,Midfielder,5' 7'',R-Jr.,2021,Indiana,140
26,Nate Ward,Forward,5' 11'',So.,2021,Indiana,160
27,Alex McGill,Midfielder,6' 0'',R-So.,2021,Indiana,160
28,Grant Yeagley,Midfielder,6' 0'',Fr.,2021,Indiana,160
29,Luke Boha,Midfielder,5' 11'',R-So.,2021,Indiana,150
30,Nathan Gabris,Goalkeeper,6' 0'',Fr.,2021,Indiana,175
32,Austin Himebaugh,Goalkeeper,6' 2'',R-Fr.,2021,Indiana,175
36,Mason Henderson,Forward,6' 0'',Fr.,2021,Indiana,160
0,Saxon Wolcott,Goalkeeper,2-Jun,So.,2024,Maryland,180
1,Hudson Blatteis,Goalkeeper,4-Jun,Gr.,2024,Maryland,200
3,Luca Costabile,Defender,11-May,Jr.,2024,Maryland,165
4,Mack DeVries,Defender,1-Jun,Jr.,2024,Maryland,200
5,Alex Nitzl,Midfield/Defender,11-May,Gr.,2024,Maryland,160
6,Leon Koehl,Midfielder,2-Jun,So.,2024,Maryland,190
7,Sadam Masereka,Forward,9-May,Jr.,2024,Maryland,150
8,Albi Ndrenika,Midfield,10-May,Jr.,2024,Maryland,175
9,Colin Griffith,Forward,10-May,Jr.,2024,Maryland,160
10,Mikkel Lejbowicz,Forward,2-Jun,Fr.,2024,Maryland,175
11,Max Rogers,Forward,9-May,Gr.,2024,Maryland,185
12,Max Riley,Forward,1-Jun,Jr.,2024,Maryland,190
14,Cameron Gerber,Midfielder/Forward,11-May,So.,2024,Maryland,160
15,Jameson Michel,Forward,10-May,Fr.,2024,Maryland,130
17,Kenny Quist-Therson,Midfielder,2-Jun,So.,2024,Maryland,170
18,Jace Clark,Defender,2-Jun,Fr.,2024,Maryland,175
20,Travis Thompson,Forward,10-May,Fr.,2024,Maryland,165
21,Cristiano Fitzgerald,Forward,8-May,Fr.,2024,Maryland,140
22,Chris Steinleitner,Midfield/Defender,2-Jun,Jr.,2024,Maryland,175
27,Joel Brown,Defender,10-May,Jr.,2024,Maryland,165
28,Brian St. Martin,Defender,1-Jun,Jr.,2024,Maryland,170
30,Matias De Jesus,Midfield,11-May,Jr.,2024,Maryland,170
31,Bjarne Thiesen,Defender,5-Jun,Gr.,2024,Maryland,180
34,Dalton Hass,Defender/Midfield,7-May,R-Jr.,2024,Maryland,140
36,Alexi Mihalek,Defender,2-Jun,Fr.,2024,Maryland,170
38,Laurin Mack,Goalkeeper,1-Jun,Fr.,2024,Maryland,190
44,Luke van Heukelum,Forward,1-Jun,So.,2024,Maryland,170
49,Aidan Sheppela,Forward,11-May,Fr.,2024,Maryland,160
97,William Kulvik,Defender,1-Jun,Sr.,2024,Maryland,165
0,Saxon Wolcott,Goalkeeper,2-Jun,Fr.,2023,Maryland,180
0,Mikah Seger,Goalkeeper,2-Jun,So.,2023,Maryland,200
1,Jamie Lowell,Goalkeeper,4-Jun,Sr.,2023,Maryland,210
2,Kento Abe,Defender,10-May,Sr.,2023,Maryland,155
3,Luca Costabile,Defender,11-May,So.,2023,Maryland,165
4,Mack DeVries,Defender,1-Jun,So.,2023,Maryland,200
5,Alex Nitzl,Midifeld/Defender,11-May,Sr.,2023,Maryland,160
7,Henrik Sakshaug,Midfielder,11-May,Fr.,2023,Maryland,170
8,Albi Ndrenika,Midfield,10-May,So.,2023,Maryland,175
9,Colin Griffith,Forward,10-May,So.,2023,Maryland,160
10,Stefan Copetti,Forward,1-Jun,Sr.,2023,Maryland,170
11,Kimani Stewart-Baynes,Forward,8-May,Fr.,2023,Maryland,160
12,Max Riley,Forward,1-Jun,So.,2023,Maryland,190
13,Tyler Prebenda,Defender/Midfield,11-May,Fr.,2023,Maryland,155
14,Cameron Gerber,Midfielder,11-May,Fr.,2023,Maryland,160
15,Jack McDaid,Midfielder,3-Jun,Fr.,2023,Maryland,170
16,Joe McDaid,Defender,3-Jun,Fr.,2023,Maryland,170
17,Kenny Quist-Therson,Midfielder,2-Jun,Fr.,2023,Maryland,170
19,Seungeon Kim,Forward,8-May,Sr.,2023,Maryland,165
20,Justin Harris,Midfielder,11-May,Gr.,2023,Maryland,150
21,Joe Suchecki,Midfielder,3-Jun,R-Jr.,2023,Maryland,190
22,Leon Koehl,Midfielder,2-Jun,Fr.,2023,Maryland,190
28,Brian St. Martin,Defender,1-Jun,So.,2023,Maryland,170
